check_id,registry,record_id,official_url,verified_on,verification_method,result,next_check,reviewer,notes
LINK-T-005,tool,TOOL-005,https://blog.google/innovation-and-ai/products/gemini-notebook/notebooklm-gemini-notebook/,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before consequential use,Phase 12 audit,Product name and features are volatile; outputs depend on supplied source coverage
LINK-T-006,tool,TOOL-006,https://support.elicit.com/en/articles/10527670-systematic-reviews-in-elicit,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before each review update,Phase 12 audit,"Coverage, full-text availability and extraction quality vary by record and access"
LINK-T-007,tool,TOOL-007,https://www.perplexity.ai/help-center/en/articles/10352901-how-does-perplexity-work,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before consequential use,Phase 12 audit,"Source labels do not certify claim-level accuracy, coverage or authority"
LINK-T-008,tool,TOOL-008,https://www.zotero.org/support/duplicate_detection,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before corpus freeze,Phase 12 audit,Duplicate detection does not resolve publication-to-study identity automatically
LINK-T-009,tool,TOOL-009,https://www.zotero.org/support/word_processor_integration,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before Editorial Gate and after major edits,Phase 12 audit,"Tracked changes, manual edits and field conversion can disrupt links"
LINK-T-010,tool,TOOL-010,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,2026-08-19,Official provider documentation or help page checked,verified as current source identity,At corpus freeze and final source audit,Phase 12 audit,"Registered metadata may be incomplete, stale or not equivalent to the full source"
LINK-T-011,tool,TOOL-011,https://www.crossref.org/services/crossmark/,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before final claim and source audit,Phase 12 audit,Absence of Crossmark information does not prove an object is current
LINK-T-012,tool,TOOL-012,https://learn.microsoft.com/en-us/office/vba/api/word.document.storyranges,2026-08-19,Official provider documentation or help page checked,verified as current source identity,At every final Word proof,Phase 12 audit,Ctrl+A then F9 in the main story does not update every story range
LINK-T-013,tool,TOOL-013,https://learn.microsoft.com/en-us/office/vba/api/word.document.exportasfixedformat,2026-08-19,Official provider documentation or help page checked,verified as current source identity,At every final proof,Phase 12 audit,"A successful export does not prove correct fonts, pagination, navigation or accessibility"
LINK-T-014,tool,TOOL-014,https://docs.github.com/en/code-security/secret-scanning/introduction/about-push-protection,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before every repository push,Phase 12 audit,Coverage is pattern- and entitlement-dependent; absence of an alert is not proof of safety
LINK-T-015,tool,TOOL-015,https://docs.github.com/en/repositories/releasing-projects-on-github/about-releases,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before any public release,Phase 12 audit,"A release does not resolve rights, privacy, licence or scientific validity"
LINK-T-016,tool,TOOL-016,https://help.zenodo.org/docs/deposit/manage-deposits/,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before any deposit,Phase 12 audit,A reserved DOI is not a published record; post-publication file changes are constrained
LINK-T-017,tool,TOOL-017,https://help.zenodo.org/docs/deposit/describe-records/licenses/,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before any deposit,Phase 12 audit,Selecting a licence cannot create rights the depositor does not hold
