book_object_id,book_location,printed_page,current_book_version,target_book_version,target_disposition,primary_companion_path,secondary_companion_paths,coverage_status,note
SEC-2.4,2.4 Use the SCOPE framing canvas,21,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/SCOPE_CANVAS_MIN.csv,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-2.5,2.5 Formulate the question and a provisional contribution,22,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,companion/09_CHANGE_AND_SUPERSESSION/ROUTE_EVIDENCE_OBLIGATION_REGISTRY_v1.2.0.csv,COVERED,Section-level operational crosswalk.
SEC-2.6,2.6 Run a bounded feasibility sprint,25,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/FEASIBILITY_SPRINT_RECORD_MIN.csv,companion/04_TEMPLATES_FULL/FEASIBILITY_SPRINT_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-2.7,"2.7 Continue, narrow, pivot or stop",28,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/FEASIBILITY_SPRINT_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-2.8,2.8 Build the one-page proposal and pass the Problem Gate,28,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-3.1,3.1 The bibliography that passed APA and failed the question,32,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SEARCH_STRATEGY_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-3.2,3.2 Choose the right literature task,33,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SEARCH_STRATEGY_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-3.3,"3.3 Keep records, publications, studies and evidence distinct",35,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,companion/04_TEMPLATES_FULL/CORPUS_LEDGER_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-3.4,3.4 Use CORPUS to build a traceable evidence base,36,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/CORPUS_LEDGER_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-3.5,"3.5 Read, verify and appraise load-bearing sources",39,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/CORE_SOURCE_NOTE_FULL.csv,companion/04_TEMPLATES_FULL/APPRAISAL_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-3.6,"3.6 Use discovery, citation and AI tools under control",41,3.7.1,3.9.0,retain in book; supplement operationally,companion/09_CHANGE_AND_SUPERSESSION/TOOL_USE_DECISION_RECORD.csv,companion/03_TEMPLATES_MINIMUM/TRACE_RECORD_MIN.csv,COVERED,Section-level operational crosswalk.
SEC-3.7,"3.7 Synthesise patterns, contradictions and the bounded gap",41,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SYNTHESIS_MEMO_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-3.8,3.8 Build the Evidence Base Pack and pass the Evidence Gate,42,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/MILESTONE_EVIDENCE_REGISTER_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-4.1,4.1 Three polished plans that are not yet defensible,45,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/DECIDE_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-4.2,4.2 Treat design as a versioned argument,46,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/DECIDE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/VERSION_MANIFEST_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-4.3,4.3 Use DECIDE to turn evidence into a conditional commitment,48,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,companion/04_TEMPLATES_FULL/DECIDE_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-4.4,4.4 Plan a proportionate software artefact,50,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EARLY_TEST_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/RISK_ASSUMPTION_REGISTER_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-4.5,4.5 Plan each route around its evidence obligation,51,3.7.1,3.9.0,retain in book; supplement operationally,companion/09_CHANGE_AND_SUPERSESSION/ROUTE_EVIDENCE_OBLIGATION_REGISTRY_v1.2.0.csv,,COVERED,Section-level operational crosswalk.
SEC-4.6,"4.6 Treat authority, ethics, data, security and licences as design inputs",54,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/AUTHORITY_MATRIX_FULL.csv,companion/04_TEMPLATES_FULL/SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-4.7,4.7 Design evaluation and controlled change before execution,55,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EVALUATION_DESIGN_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/EARLY_TEST_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-4.8,4.8 Assemble the Approved Project Protocol and pass the Design Gate,56,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/MILESTONE_EVIDENCE_REGISTER_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-5.1,5.1 The successful run that proves too little,60,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/WORK_UNIT_BRIEF_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-5.2,5.2 Treat every output as a candidate work unit,61,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/WORK_UNIT_BRIEF_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-5.3,5.3 Freeze the starting state before consequential action,64,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/AUTHORITATIVE_FILE_VERSION_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/VERSION_MANIFEST_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-5.4,5.4 Execute route-specific units without collapsing inference boundaries,66,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/WORK_UNIT_BRIEF_FULL.csv,companion/09_CHANGE_AND_SUPERSESSION/ROUTE_EVIDENCE_OBLIGATION_REGISTRY_v1.2.0.csv,COVERED,Section-level operational crosswalk.
SEC-5.5,"5.5 Inspect the primary artefact, preserve failure and decide disposition",68,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-5.6,"5.6 Control AI autonomy, dependencies, secrets and external effects",70,3.7.1,3.9.0,retain in book; supplement operationally,companion/06_AI_TRACE_AND_DISCLOSURE/AI_PERMISSION_DECISION_RECORD.csv,companion/04_TEMPLATES_FULL/TRACE_RECORD_FULL.csv | companion/04_TEMPLATES_FULL/RISK_ASSUMPTION_REGISTER_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-5.7,"5.7 Preserve lineage, deviations and recovery",71,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EXECUTION_PROVENANCE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/VERSION_MANIFEST_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-5.8,5.8 Assemble the Execution Dossier and pass the Execution Gate,72,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/MILESTONE_EVIDENCE_REGISTER_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-6.1,6.1 The favourable result that outran its evidence,76,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,,COVERED,Section-level operational crosswalk.
SEC-6.2,6.2 Build the evidence-to-claim chain,77,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/CLAIM_EVIDENCE_MAP_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-6.3,6.3 Design the evaluation from the claim backwards,80,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EVALUATION_DESIGN_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-6.4,6.4 Evaluate by route and inference,82,3.7.1,3.9.0,retain in book; supplement operationally,companion/09_CHANGE_AND_SUPERSESSION/ROUTE_EVIDENCE_OBLIGATION_REGISTRY_v1.2.0.csv,,COVERED,Section-level operational crosswalk.
SEC-6.5,"6.5 Interpret magnitude, uncertainty and counter-evidence",85,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-6.6,"6.6 Test robustness, reproducibility and transfer",87,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EXECUTION_PROVENANCE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/EVALUATION_DESIGN_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-6.7,"6.7 Use AI as an adversary, never as a certifier",88,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/TRACE_RECORD_FULL.csv,companion/06_AI_TRACE_AND_DISCLOSURE/AI_STOP_AND_REOPEN_CHECKLIST.csv,COVERED,Section-level operational crosswalk.
SEC-6.8,6.8 Assemble the Evaluation and Claim Dossier and pass the Claim Gate,88,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/CLAIM_EVIDENCE_MAP_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-7.1,7.1 The complete-looking thesis that still has no answer,93,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/ARGUMENT_SPINE_MAP_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-7.2,7.2 Build the argument spine before drafting full chapters,94,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/ARGUMENT_SPINE_MAP_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-7.3,7.3 Write the introduction and state of the art as a problem-to-position sequence,98,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SECTION_CONTRACT_REGISTER_FULL.csv,companion/04_TEMPLATES_FULL/CORE_SOURCE_NOTE_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-7.4,"7.4 Write methodology, architecture and implementation as the route that actually produced the evidence",100,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SECTION_CONTRACT_REGISTER_FULL.csv,companion/04_TEMPLATES_FULL/EXECUTION_PROVENANCE_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-7.5,7.5 Write results as an inspectable evidence record,102,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/CLAIM_EVIDENCE_MAP_FULL.csv,companion/04_TEMPLATES_FULL/EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-7.6,"7.6 Write discussion, limitations and conclusions as the bounded answer",104,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-7.7,7.7 Use AI to diagnose and revise without surrendering authorship,105,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/TRACE_RECORD_FULL.csv,companion/06_AI_TRACE_AND_DISCLOSURE/AI_DISCLOSURE_RECORD.csv,COVERED,Section-level operational crosswalk.
SEC-7.8,7.8 Assemble the coherent manuscript and pass the Argument Gate,106,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/ARGUMENT_SPINE_MAP_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-8.1,8.1 The polished draft that became a different study,109,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EDITORIAL_REVISION_MAP_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-8.2,8.2 Revise at three semantic scales before technical closure,110,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EDITORIAL_REVISION_MAP_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-8.3,"8.3 Lock authorship, headline layers and terminology to one claim",112,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/AUTHOR_IDENTITY_HEADLINE_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-8.4,"8.4 Verify citations, sources, rights and attribution bidirectionally",115,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-8.5,8.5 Audit every evidential object and cross-reference,116,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-8.6,8.6 Prepare ethically for similarity and authorship review,118,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SIMILARITY_AI_AUTHORSHIP_RECORD_FULL.csv,companion/06_AI_TRACE_AND_DISCLOSURE/AI_DISCLOSURE_RECORD.csv,COVERED,Section-level operational crosswalk.
SEC-8.7,8.7 Freeze one authoritative DOCX and prove the rendered object,119,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/AUTHORITATIVE_FILE_VERSION_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/ACCESSIBILITY_RENDER_AUDIT_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-8.8,8.8 Assemble the Editorial Closure Dossier and pass the Editorial Gate,121,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/MILESTONE_EVIDENCE_REGISTER_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-9.1,9.1 The defence that exposed four incompatible records,124,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/PACKAGE_CONSISTENCY_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/CURRENT_SESSION_AUTHORITY_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-9.2,9.2 Lock the current authority map before freezing the record,125,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/CURRENT_SESSION_AUTHORITY_RECORD_FULL.csv,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,COVERED,Section-level operational crosswalk.
SEC-9.3,9.3 Build one assessable record across controlled interfaces,127,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SUBMISSION_PACKAGE_MANIFEST_FULL.csv,companion/04_TEMPLATES_FULL/PACKAGE_CONSISTENCY_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-9.4,"9.4 Demonstrate an evidence path, not a product tour",131,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,companion/04_TEMPLATES_FULL/DEMONSTRATION_RUNBOOK_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-9.5,9.5 Build a claim-led presentation with a compressible spine,132,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/PRESENTATION_SPINE_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-9.6,"9.6 Answer from evidence, boundary and consequence",133,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,companion/04_TEMPLATES_FULL/DEFENCE_QUESTION_MATRIX_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-9.7,"9.7 Run a blind navigation, failure and mock-defence test",134,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/MOCK_DEFENCE_AND_RECOVERY_RECORD_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-9.8,9.8 Complete the Defence Readiness Dossier and pass its Gate,135,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,companion/07_SUBMISSION_AND_DEFENCE/DC_E_SUBMISSION_AND_DEFENCE.md,COVERED,Section-level operational crosswalk.
EPILOGUE,Epilogue,138,3.7.1,3.9.0,retain in book,companion/09_CHANGE_AND_SUPERSESSION/CHANGELOG.md,,COVERED,Companion support only; consolidated References remain in the book.
REFERENCES,References,140,3.7.1,3.9.0,retain in book,companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,,COVERED,Companion support only; consolidated References remain in the book.
APP-A,Appendix A. Quick Guide: Mandatory and Recommended,156,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,companion/08_INSTITUTIONAL_LINKS/A1_QUICK_GUIDE_TO_OFFICIAL_OBLIGATIONS_AND_AUTHORIAL_CONTROLS.csv,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-B,Appendix B. Official Process and Calendar,161,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,companion/08_INSTITUTIONAL_LINKS/B1_CHRONOLOGICAL_OFFICIAL_PROCESS_BY_ROUTE.csv | companion/08_INSTITUTIONAL_LINKS/B2_CURRENT_SESSION_CALENDAR_AND_AUTHORITY_RECORD.csv,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-B-CURRENT_SESSION_CALENDAR_RECORD,Appendix B. Official Process and Calendar / Current-session calendar record,,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-B-CONFLICT_AND_SUPERSESSION_RULES,Appendix B. Official Process and Calendar / Conflict and supersession rules,,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-C,Appendix C. Documents and Evidence by Milestone,169,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,companion/08_INSTITUTIONAL_LINKS/C1_PROJECT_RECORDS_AND_EVIDENCE_BY_MILESTONE.csv | companion/08_INSTITUTIONAL_LINKS/C2_CORE_OFFICIAL_CLOSEOUT_RECORDS_BY_ROUTE.csv | companion/08_INSTITUTIONAL_LINKS/C3_CONDITIONAL_OFFICIAL_RECORDS_BY_STATUS_OR_ROUTE_CONDITION.csv,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-C-THE_MILESTONE_EVIDENCE_CHAIN,Appendix C. Documents and Evidence by Milestone / The milestone evidence chain,,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-C-CORE_OFFICIAL_CLOSEOUT_RECORDS_BY_ROUTE,Appendix C. Documents and Evidence by Milestone / Core official closeout records by route,,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-C-STATUS_TRIGGERED_OFFICIAL_RECORDS,Appendix C. Documents and Evidence by Milestone / Status-triggered official records,,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-C-RETENTION_ARCHITECTURE_AND_RELEASE_BOUNDARY,Appendix C. Documents and Evidence by Milestone / Retention architecture and release boundary,,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-D,"Appendix D. Generative AI Use, Disclosure and Responsibility",180,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/06_AI_TRACE_AND_DISCLOSURE/DC_D_GENERATIVE_AI_USE_DISCLOSURE_AND_RESPONSIBILITY.md,companion/06_AI_TRACE_AND_DISCLOSURE/D1_PERMISSION_AND_CONTROL_MATRIX_FOR_GENERATIVE_AI_USE.csv | companion/06_AI_TRACE_AND_DISCLOSURE/D2_TRACE_MINIMUM_RECORD_AND_CLOSURE_TEST.csv | companion/06_AI_TRACE_AND_DISCLOSURE/D3_INDEPENDENT_VERIFICATION_BY_OUTPUT_TYPE.csv,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-D-PERMISSION_AND_DECISION_BOUNDARY,"Appendix D. Generative AI Use, Disclosure and Responsibility / Permission and decision boundary",,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/06_AI_TRACE_AND_DISCLOSURE/DC_D_GENERATIVE_AI_USE_DISCLOSURE_AND_RESPONSIBILITY.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
APP-D-TRACE_THE_MINIMUM_CONSEQUENTIAL_USE_RECORD,"Appendix D. Generative AI Use, Disclosure and Responsibility / TRACE: the minimum consequential-use record",,3.7.1,3.9.0,formal appendix removed; stable principle integrated where required; operational object maintained in companion,companion/06_AI_TRACE_AND_DISCLOSURE/DC_D_GENERATIVE_AI_USE_DISCLOSURE_AND_RESPONSIBILITY.md,,MIGRATION COMPLETE,Book v3.9.0 is appendix-free; current official sources prevail over dated operational records.
