record_no,record_id,level,filename,template_path,record_title,stage,gate,mode,requiredness,route_scope,counterpart,purpose,when_to_use,do_not_use_as,completion_test,controlled_values,book_anchor,predecessor_records,successor_or_handoff,data_sensitivity,semantic_status
11,MIN-TRACE_RECORD_MIN,minimum,TRACE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/TRACE_RECORD_MIN.csv,TRACE Record - Minimum,Cross-cutting,All gates,ledger,conditional: consequential generative AI use,all routes when generative AI use is consequential; otherwise not required,TRACE_RECORD_FULL.csv,Record consequential generative-AI assistance and its verification and disposition.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","The student can explain the task, supplied context, candidate output, independent basis and final decision.",Decision: accepted; modified; rejected. AI output is never evidence or authority.,"1.7 Agree how AI may be used; 3.6 Use discovery, citation and AI tools under control",Consequential generative AI use under a permitted task,"Independent verification, disposition and disclosure mapping","do not paste confidential prompts, participant data, credentials or restricted source content",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
12,MIN-VERSION_MANIFEST_RECORD_MIN,minimum,VERSION_MANIFEST_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/VERSION_MANIFEST_RECORD_MIN.csv,Version and Manifest Record - Minimum,Cross-cutting,All closure gates,form,minimum when the mapped decision applies,all eight routes,VERSION_MANIFEST_RECORD_FULL.csv,Preserve one source of truth and identify every derivative.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The authoritative object, version, hash, derivatives, rights and privacy status can be reconstructed.",,1.6 Set up the work before it grows,Design Gate,Claim Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
13,FULL-ACCESSIBILITY_RENDER_AUDIT_FULL,full,ACCESSIBILITY_RENDER_AUDIT_FULL.csv,companion/04_TEMPLATES_FULL/ACCESSIBILITY_RENDER_AUDIT_FULL.csv,Accessibility and Render Audit - Full,Close,Editorial Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Preserve structural accessibility and inspect the rendered object page by page.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","High-impact defects are absent, findings are classified and the proof is tied to the authoritative source.",,8.7 Freeze one authoritative DOCX and prove the rendered object,Argument Gate,Defence Readiness Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
14,FULL-APPRAISAL_RECORD_FULL,full,APPRAISAL_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/APPRAISAL_RECORD_FULL.csv,Appraisal Record - Full,Search,Evidence Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all routes; formal evidence synthesis requires the fullest protocol-led use,,"Separate relevance, authority, methodological quality and fitness for a particular claim.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",Appraisal judgements are explicit and do not collapse prestige into fitness.,,"3.5 Read, verify and appraise load-bearing sources",Problem Gate,Design Gate,bibliographic and source metadata only; do not redistribute restricted full texts,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
15,FULL-ARGUMENT_SPINE_MAP_FULL,full,ARGUMENT_SPINE_MAP_FULL.csv,companion/04_TEMPLATES_FULL/ARGUMENT_SPINE_MAP_FULL.csv,Argument Spine Map - Full,Write,Argument Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Transform gate records into one bounded answer rather than a chronology.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The problem, position, method, evidence, claim, limitation and contribution form one reconstructible chain.",,7.1 The complete-looking thesis that still has no answer; 7.2 Build the argument spine before drafting full chapters; 7.8 Assemble the coherent manuscript and pass the Argument Gate,Claim Gate,Editorial Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
16,FULL-AUTHORITATIVE_FILE_VERSION_RECORD_FULL,full,AUTHORITATIVE_FILE_VERSION_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/AUTHORITATIVE_FILE_VERSION_RECORD_FULL.csv,Authoritative File and Version Record - Full,Close,Editorial Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Designate one source of truth and preserve derivative identity.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The authoritative DOCX and every derivative have versions, hashes, rights and proof state.",,5.3 Freeze the starting state before consequential action; 8.7 Freeze one authoritative DOCX and prove the rendered object,Design Gate,Claim Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
17,FULL-AUTHORITY_MATRIX_FULL,full,AUTHORITY_MATRIX_FULL.csv,companion/04_TEMPLATES_FULL/AUTHORITY_MATRIX_FULL.csv,Authority Matrix - Full,Plan,Design Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Separate advice, academic approval, ethics, data ownership, security and licence authority.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",No approval is used as a substitute for a different authority route.,,"1.5 Who owns which decision?; 4.6 Treat authority, ethics, data, security and licences as design inputs",Project identity and authority evidence,Problem Gate,may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
18,FULL-AUTHOR_IDENTITY_HEADLINE_RECORD_FULL,full,AUTHOR_IDENTITY_HEADLINE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/AUTHOR_IDENTITY_HEADLINE_RECORD_FULL.csv,Author Identity and Headline Consistency Record - Full,Close,Editorial Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Lock author order and headline layers to one study identity.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","Title, abstract, keywords, contribution, conclusion and metadata describe the same bounded study.",,"8.3 Lock authorship, headline layers and terminology to one claim",Argument Gate,Defence Readiness Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
19,FULL-CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL,full,CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL.csv,Candidate Artefact and Inspection Record - Full,Execute,Execution Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Inspect the primary artefact rather than a summary or dashboard.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The object is identified, inspected against declared criteria and given an explicit disposition.",,"5.5 Inspect the primary artefact, preserve failure and decide disposition",Design Gate,Claim Gate,"record versions and evidence locators, not secrets, personal data or proprietary payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
20,FULL-CLAIM_EVIDENCE_MAP_FULL,full,CLAIM_EVIDENCE_MAP_FULL.csv,companion/04_TEMPLATES_FULL/CLAIM_EVIDENCE_MAP_FULL.csv,Claim-Evidence Map - Full,Evaluate and write,Claim / Argument Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,CLAIM_EVIDENCE_MAP_MIN.csv,"Map each exact claim to evidence, reasoning, uncertainty, boundary and rejected stronger wording.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",Every substantive claim has a reconstructible evidence path and a status.,,6.2 Build the evidence-to-claim chain; 6.8 Assemble the Evaluation and Claim Dossier and pass the Claim Gate; 7.5 Write results as an inspectable evidence record,Execution Gate,Argument Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
21,FULL-CORE_SOURCE_NOTE_FULL,full,CORE_SOURCE_NOTE_FULL.csv,companion/04_TEMPLATES_FULL/CORE_SOURCE_NOTE_FULL.csv,Core Source Note - Full,Search,Evidence Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Record what a load-bearing source actually supports and where its scope ends.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.",The source cannot be cited for a broader claim than the note permits.,,"3.5 Read, verify and appraise load-bearing sources; 7.3 Write the introduction and state of the art as a problem-to-position sequence",Problem Gate,Design Gate,bibliographic and source metadata only; do not redistribute restricted full texts,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
22,FULL-CORPUS_LEDGER_FULL,full,CORPUS_LEDGER_FULL.csv,companion/04_TEMPLATES_FULL/CORPUS_LEDGER_FULL.csv,CORPUS Ledger - Full,Search,Evidence Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all routes; formal evidence synthesis requires the fullest protocol-led use,CORPUS_LEDGER_MIN.csv,Resolve each candidate object from discovery record to claim-linked use.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Every load-bearing object has a verified identity, appraisal, access status and study-level mapping where relevant.",,"3.3 Keep records, publications, studies and evidence distinct; 3.4 Use CORPUS to build a traceable evidence base",Problem Gate,Design Gate,bibliographic and source metadata only; do not redistribute restricted full texts,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
23,FULL-CURRENT_SESSION_AUTHORITY_RECORD_FULL,full,CURRENT_SESSION_AUTHORITY_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/CURRENT_SESSION_AUTHORITY_RECORD_FULL.csv,Current Session Authority Record — Full,Submit and defend,Defence Readiness Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,,"Separate dated official sources, operational values, conflicts, clarifications and recheck dates for the current route and session.","Use before relying on a deadline, form, route, portal instruction, examination condition or official exception.","Do not treat form completion as evidence, authority, approval or gate passage.",The operative value is traceable to a current source or named written clarification and conflicts are not concealed.,,9.1 The defence that exposed four incompatible records; 9.2 Lock the current authority map before freezing the record,Editorial Gate,"Defence, closeout and controlled release decision",may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
24,FULL-DECIDE_RECORD_FULL,full,DECIDE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/DECIDE_RECORD_FULL.csv,DECIDE Record - Full,Plan,Design Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,DECIDE_RECORD_MIN.csv,Record a consequential decision as a conditional commitment.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","Alternatives, evidence, authority, adverse consequences, early test and reopening trigger are explicit.",,4.1 Three polished plans that are not yet defensible; 4.2 Treat design as a versioned argument; 4.3 Use DECIDE to turn evidence into a conditional commitment,Evidence Gate,Execution Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
25,FULL-DEFENCE_QUESTION_MATRIX_FULL,full,DEFENCE_QUESTION_MATRIX_FULL.csv,companion/04_TEMPLATES_FULL/DEFENCE_QUESTION_MATRIX_FULL.csv,Defence Question Matrix - Full,Submit and defend,Defence Readiness Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,DEFENCE_QUESTION_MATRIX_MIN.csv,Prepare evidence-return answers to realistic hostile questions.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Each answer identifies the claim, evidence, inferential link, uncertainty and boundary.",,"9.6 Answer from evidence, boundary and consequence",Editorial Gate,"Defence, closeout and controlled release decision",may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
26,FULL-DEFENCE_READINESS_RECORD_FULL,full,DEFENCE_READINESS_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,Defence Readiness Record - Full,Submit and defend,Defence Readiness Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,,"Record whether the scientific record, submitted package, demonstration, slides and oral account preserve one contribution.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","An independent reviewer can retrieve the evidence, challenge the claim and verify disclosures without version drift.",,9.8 Complete the Defence Readiness Dossier and pass its Gate,Editorial Gate,"Defence, closeout and controlled release decision",may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
27,FULL-DEMONSTRATION_RUNBOOK_FULL,full,DEMONSTRATION_RUNBOOK_FULL.csv,companion/04_TEMPLATES_FULL/DEMONSTRATION_RUNBOOK_FULL.csv,Demonstration Runbook - Full,Submit and defend,Defence Readiness Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes; adapt evidence and demonstration to the selected route,DEMONSTRATION_RUNBOOK_MIN.csv,"Prepare a route-specific evidential demonstration, failure case and fallback.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",The demonstration is tied to the accepted evidence and cannot imply a stronger claim.,,"9.4 Demonstrate an evidence path, not a product tour",Editorial Gate,"Defence, closeout and controlled release decision","record versions and evidence locators, not secrets, personal data or proprietary payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
28,FULL-EARLY_TEST_RECORD_FULL,full,EARLY_TEST_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/EARLY_TEST_RECORD_FULL.csv,Early Test Record - Full,Plan,Design Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Test one consequential design commitment before full execution.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The test result can confirm conditionally, repair, invalidate or await authority.",,4.4 Plan a proportionate software artefact; 4.7 Design evaluation and controlled change before execution,Evidence Gate,Execution Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
29,FULL-EDITORIAL_REVISION_MAP_FULL,full,EDITORIAL_REVISION_MAP_FULL.csv,companion/04_TEMPLATES_FULL/EDITORIAL_REVISION_MAP_FULL.csv,Editorial Revision Map — Full,Close,Editorial Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Control meaning-changing and technically consequential edits by location, scale, authority, return gate and retest.","Use when an edit can affect the question, method, evidence, claim, source, right, field, figure, table or proof state.","Do not treat form completion as evidence, authority, approval or gate passage.","Every consequential revision has an authorised action, effect analysis, retest and final disposition.",,8.1 The polished draft that became a different study; 8.2 Revise at three semantic scales before technical closure,Argument Gate,Defence Readiness Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
30,FULL-EVALUATION_DESIGN_RECORD_FULL,full,EVALUATION_DESIGN_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/EVALUATION_DESIGN_RECORD_FULL.csv,Evaluation Design Record - Full,Evaluate,Claim Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Design evaluation backwards from the minimum meaningful claim.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The comparison, evidence body, uncertainty, counter-evidence and forbidden inference are declared before interpretation.",,"4.7 Design evaluation and controlled change before execution; 6.3 Design the evaluation from the claim backwards; 6.6 Test robustness, reproducibility and transfer",Evidence Gate,Execution Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
31,FULL-EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL,full,EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL.csv,companion/04_TEMPLATES_FULL/EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL.csv,Evidential Object and Navigation Audit - Full,Close,Editorial Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,"Audit the semantic and technical integrity of figures, tables, equations, listings and cross-references.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",Every object represents the accepted study and every destination works.,,7.5 Write results as an inspectable evidence record; 8.5 Audit every evidential object and cross-reference,Claim Gate,Editorial Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
32,FULL-EXECUTION_PROVENANCE_RECORD_FULL,full,EXECUTION_PROVENANCE_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/EXECUTION_PROVENANCE_RECORD_FULL.csv,"Execution, Context and Provenance Record - Full",Execute,Execution Gate,ledger,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,,Preserve lineage from starting state to candidate and accepted work.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","A reviewer can reconstruct versions, environment, manual interventions, failures and disposition.",,"5.7 Preserve lineage, deviations and recovery; 6.6 Test robustness, reproducibility and transfer; 7.4 Write methodology, architecture and implementation as the route that actually produced the evidence",Design Gate,Claim Gate,"record versions and evidence locators, not secrets, personal data or proprietary payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
33,FULL-FEASIBILITY_SPRINT_RECORD_FULL,full,FEASIBILITY_SPRINT_RECORD_FULL.csv,companion/04_TEMPLATES_FULL/FEASIBILITY_SPRINT_RECORD_FULL.csv,Feasibility Sprint Record - Full,Choose,Problem Gate,form,conditional escalation when the minimum record is insufficient or the book explicitly requires the fuller audit trail,all eight routes,FEASIBILITY_SPRINT_RECORD_MIN.csv,"Test a costly uncertainty through a bounded, safe and evidential action.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The sprint produces retained evidence and a defensible continue, narrow, pivot or stop decision.",,"2.6 Run a bounded feasibility sprint; 2.7 Continue, narrow, pivot or stop",Project Start Pack / opening control,Evidence Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
