object_type,object_id,caption,book_location,current_book_disposition,target_disposition,primary_companion_path,editable_paths,fallback_or_data_path,rights_status,coverage_status
table,Table 2.3,Table 2.3. A default feasibility window illustrated over fourteen days.,2.6 Run a bounded feasibility sprint,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 3.1,Table 3.1. Three literature tasks and the claims they permit.,3.2 Choose the right literature task,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 3.1,Figure 3.1. Evidence identity chain.,"3.3 Keep records, publications, studies and evidence distinct",retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_3_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_3_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_3_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
figure,Figure 3.2,Figure 3.2. CORPUS records cycle.,3.4 Use CORPUS to build a traceable evidence base,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_3_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_3_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_3_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 3.2,"Table 3.2. Source classes, legitimate authority and claim boundaries.","3.5 Read, verify and appraise load-bearing sources",present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 3.3,"Table 3.3. Evidence Gate criteria, retained evidence and repair decisions.",3.8 Build the Evidence Base Pack and pass the Evidence Gate,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 4.1,"Table 4.1. Design objects, operational questions and common collapses.",4.2 Treat design as a versioned argument,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 4.1,Figure 4.1. Reversible driver-to-test chain.,4.2 Treat design as a versioned argument,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_4_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_4_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_4_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
figure,Figure 4.2,Figure 4.2. DECIDE conditional commitment cycle.,4.3 Use DECIDE to turn evidence into a conditional commitment,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_4_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_4_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_4_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 4.2,"Table 4.2. Route-specific design commitments, early evidence and inference limits.",4.5 Plan each route around its evidence obligation,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 4.3,Table 4.3. Design Gate evidence and repair decisions.,4.8 Assemble the Approved Project Protocol and pass the Design Gate,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 5.1,"Table 5.1. Execution objects, false substitutes and minimum records.",5.2 Treat every output as a candidate work unit,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 5.1,Figure 5.1. Candidate-to-admission chain.,5.2 Treat every output as a candidate work unit,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_5_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_5_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_5_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
figure,Figure 5.2,Figure 5.2. Bounded execution loop.,5.3 Freeze the starting state before consequential action,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_5_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_5_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_5_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 5.2,"Table 5.2. Route-specific work units, admission evidence and inference limits.",5.4 Execute route-specific units without collapsing inference boundaries,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 5.3,Table 5.3. Execution Gate evidence and repair decisions.,5.8 Assemble the Execution Dossier and pass the Execution Gate,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 6.1,Table 6.1. What each evaluation object can and cannot license.,6.2 Build the evidence-to-claim chain,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 6.1,Figure 6.1. Evidence-to-claim ladder.,6.2 Build the evidence-to-claim chain,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_6_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_6_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_6_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
figure,Figure 6.2,Figure 6.2. Claim stress test and gate returns.,6.3 Design the evaluation from the claim backwards,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_6_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_6_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_6_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 6.2,Table 6.2. Route-specific evidence bodies and invalid inferential leaps.,6.4 Evaluate by route and inference,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 6.3,"Table 6.3. Claim Gate tests, statuses and return decisions.",6.8 Assemble the Evaluation and Claim Dossier and pass the Claim Gate,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 7.1,Figure 7.1. Gate records to thesis argument.,7.2 Build the argument spine before drafting full chapters,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_7_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_7_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_7_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
figure,Figure 7.2,Figure 7.2. Section and paragraph contracts.,7.2 Build the argument spine before drafting full chapters,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_7_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_7_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_7_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 7.1,"Table 7.1. Section functions, hand-offs and failure signatures.",7.2 Build the argument spine before drafting full chapters,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 7.2,Table 7.2. Route-specific thesis architectures and traceability risks.,"7.4 Write methodology, architecture and implementation as the route that actually produced the evidence",present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 7.3,Table 7.3. Argument Gate criteria and repair decisions.,7.8 Assemble the coherent manuscript and pass the Argument Gate,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 8.1,Figure 8.1. Semantic revision and proof control.,8.2 Revise at three semantic scales before technical closure,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_8_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_8_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_8_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 8.1,"Table 8.1. Revision scales, permitted interventions and return conditions.",8.2 Revise at three semantic scales before technical closure,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 8.2,Figure 8.2. One-study consistency lock.,"8.3 Lock authorship, headline layers and terminology to one claim",retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_8_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_8_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_8_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 8.2,Table 8.2. Semantic and technical tests for editorial objects.,8.5 Audit every evidential object and cross-reference,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 8.3,"Table 8.3. Editorial Gate criteria, statuses and repair decisions.",8.8 Assemble the Editorial Closure Dossier and pass the Editorial Gate,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 9.1,Figure 9.1. Closure to defence readiness.,9.2 Lock the current authority map before freezing the record,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_9_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_9_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_9_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 9.1,Table 9.1. Illustrative bachelor’s and master’s examination routes under the cited 2025–2026 ASE regulations.,9.2 Lock the current authority map before freezing the record,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 9.2,Figure 9.2. One bounded contribution across interfaces.,9.3 Build one assessable record across controlled interfaces,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_9_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_9_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_9_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 9.2,Table 9.2. Controlled interfaces and non-compensable consistency defects.,9.3 Build one assessable record across controlled interfaces,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 9.3,"Table 9.3. Defence Readiness Gate criteria, non-compensable defects and repair decisions.",9.8 Complete the Defence Readiness Dossier and pass its Gate,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,,companion/04_TEMPLATES_FULL/DEFENCE_READINESS_RECORD_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 29,Table R.1. Appendix source-code concordance,Appendix source-code concordance,absent from v3.9.0; operational counterpart migrated,stable principle integrated in book; editable object maintained in companion,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 30,Table A.1. Quick guide to official obligations and authorial controls,Appendix A. Quick Guide: Mandatory and Recommended,absent from v3.9.0; operational counterpart migrated,stable principle integrated in book; editable object maintained in companion,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 31,Table B.1. Chronological official process by route,Appendix B. Official Process and Calendar,absent from v3.9.0; operational counterpart migrated,stable principle integrated in book; editable object maintained in companion,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 32,Table B.2. Current-session calendar and authority record,Current-session calendar record,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 33,Table C.1. Project records and evidence by milestone,The milestone evidence chain,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 34,Table C.2. Core official closeout records by route,Core official closeout records by route,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 35,Table C.3. Conditional official records by status or route condition,Status-triggered official records,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 36,Table D.1. Permission and control matrix for generative AI use,Permission and decision boundary,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 37,Table D.2. TRACE minimum record and closure test,TRACE: the minimum consequential-use record,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 38,Table D.3. Independent verification by output type,"Independent verification, not model agreement",present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 39,Table E.1. Freeze one assessable record,How to use the checklists,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 40,Table E.2. Submit the dossier and prove enrolment,Submit the dossier and prove enrolment,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 41,Table E.3. Demonstration and fallback,Demonstration and fallback,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 42,Table E.4. Presentation and accessibility,Presentation and accessibility,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 43,Table E.5. Oral ownership and hostile questions,Oral ownership and hostile questions,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 44,"Table E.6. Defence day, incident response and closeout","Defence day, incident response and closeout",present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,,companion/10_BOOK_RESOURCE_MAP/BOOK_TO_COMPANION_CROSSWALK.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
