migration_id,appendix,source_kind,source_locator,section,style,source_text,planned_disposition,retain_in_book,target,volatile,status,companion_path,companion_locator,companion_coverage_status,normalised_match_score,source_verification_status,book_v3_8_action,phase14c_closure_status,closure_basis
APX-P1401,B,paragraph,P1401,,Chapter Lead,A route-specific sequence with a current-session authority record,MIGRATE_TO_DIGITAL_MODULE,NO_OR_SUMMARY_ONLY,DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 11,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1402,B,paragraph,P1402,,First Paragraph,"An administratively admissible thesis or dissertation is not produced by following a remembered sequence. It is produced by identifying the applicable route, fixing the authority set for the current session and retaining evidence that each consequential gate was passed. This appendix provides that control structure for the bachelor’s and master’s routes of the Bucharest University of Economic Studies (ASE), with faculty-level operational checks for the Faculty of Cybernetics, Statistics and Economic Informatics (CSIE).",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 13,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1403,B,paragraph,P1403,,Body Text,"The source set was checked on 21 August 2026. Current official regulations, calendars, faculty notices, forms and valid written instructions prevail over this dated appendix. Exact dates, hours, fees, rooms, platform labels, file names, form numbers and cohort labels are intentionally not reproduced as permanent rules. They belong in the current-session record and must be verified again before every consequential action.",MOVE_TO_DIGITAL_SOURCE_AND_VOLATILITY_REGISTER,NO,ASE/CSIE source and volatility register,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 15,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1404,B,paragraph,P1404,,Body Text,Mandatory identifies a requirement supported directly by the applicable official route. Conditional identifies an official requirement triggered only by candidate status or circumstance. Recommended identifies an authorial control that strengthens traceability but does not claim independent institutional force. A live page is not treated as internally consistent merely because it is official: unresolved discrepancies are recorded as conflicts and stop the affected action until authoritative clarification is obtained.,REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 17,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1405,B,paragraph,P1405,,Body Text,Table B.1 presents the durable sequence. It deliberately separates the two routes where the governing regulations differ and uses source codes resolved in the Appendix source-code concordance under References.,MOVE_TO_DIGITAL_SOURCE_AND_VOLATILITY_REGISTER,NO,ASE/CSIE source and volatility register,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 19,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1406,B,paragraph,P1406,,Table Caption,Table B.1. Chronological official process by route,MIGRATE_TABLE_AS_EDITABLE_RECORD,NO_TABLE,DC-B CSV/DOCX record,MIXED,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 21,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1407,B,paragraph,P1407,,Source Note,Note. All sources were checked on 21 August 2026. Source codes are resolved in the Appendix source-code concordance under References. Mandatory and Conditional classify official obligations for the stated route; Recommended identifies authorial controls. A current operational value must still be entered in Table B.2 before use.,MOVE_TO_DIGITAL_SOURCE_AND_VOLATILITY_REGISTER,NO,ASE/CSIE source and volatility register,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 25,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1408,B,paragraph,P1408,,First Paragraph,"The route is chronological but not automatic. Each stage has an exit condition: an approval, a validated file, a decision, a receipt or another record sufficient to show that the gate was passed under the authority then in force. Proceeding because a screen appeared to accept an upload is not equivalent to proving registration, version identity or administrative admissibility.",MIGRATE_TO_DIGITAL_MODULE,NO_OR_SUMMARY_ONLY,DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 27,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1409,B,paragraph,P1409,Current-session calendar record,Heading 2,Current-session calendar record,MIGRATE_SUBSECTION_AND_RETAIN_PRINCIPLE_IF_STABLE,SELECTIVE,DC-B operational section,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 29,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1410,B,paragraph,P1410,Current-session calendar record,First Paragraph,"Table B.2 is a recommended authorial record, not an ASE or CSIE form. Complete it from current official sources for the correct route and candidate status. Use only the following status vocabulary: CONFIRMED, PENDING OFFICIAL RELEASE, CONDITIONAL, CONFLICT, NOT APPLICABLE and CLOSED. A row marked CONFLICT is not ready for action.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 31,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1411,B,paragraph,P1411,Current-session calendar record,Table Caption,Table B.2. Current-session calendar and authority record,MIGRATE_TABLE_AS_EDITABLE_RECORD,NO_TABLE,DC-B CSV/DOCX record,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 33,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1412,B,paragraph,P1412,Current-session calendar record,Source Note,Note. This record contains instructions for what to capture rather than blank fields. It can be copied into the companion workspace and completed there. It must not be represented as an official institutional form.,MOVE_TO_DIGITAL_SOURCE_AND_VOLATILITY_REGISTER,NO,ASE/CSIE source and volatility register,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 37,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1413,B,paragraph,P1413,Conflict and supersession rules,Heading 2,Conflict and supersession rules,MIGRATE_SUBSECTION_AND_RETAIN_PRINCIPLE_IF_STABLE,SELECTIVE,DC-B operational section,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 39,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1414,B,paragraph,P1414,Conflict and supersession rules,First Paragraph,"First, compare like with like. Confirm route, faculty, programme, candidate status and session before treating two instructions as competing. A previous-cohort requirement may be conditional rather than contradictory.",MIGRATE_TO_DIGITAL_MODULE,NO_OR_SUMMARY_ONLY,DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 41,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1415,B,paragraph,P1415,Conflict and supersession rules,Body Text,"Second, apply the authority hierarchy. The regulation in force governs. A current institutional calendar and current faculty or programme instruction operationalise that regulation. A current official form and a valid written coordinator instruction are usable only within the governing rule. This book applies only where those sources do not settle the question.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 43,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1416,B,paragraph,P1416,Conflict and supersession rules,Body Text,"Third, never average conflicting dates or hours, select the more convenient value or treat publication recency as proof of correctness. Mark the row CONFLICT, pause the affected action and obtain written clarification from the competent official source. Record the resolution, author, date and retained evidence.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 45,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1417,B,paragraph,P1417,Conflict and supersession rules,Body Text,"Fourth, repeat the check immediately before every consequential event. At the verification date, live CSIE pages and their linked 2026 notices disagreed on same-day registration cut-off times and retained inconsistent cohort or session labels. The discrepancy is evidence that an official web location can still contain unresolved version-control defects. Neither conflicting value is reproduced here as a permanent instruction. Authority: B5–B8.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-B,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 47,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1419,C,paragraph,P1419,,Heading 1,Appendix C. Documents and Evidence by Milestone,REMOVE_PRINTED_HEADING_CREATE_DC_LANDING_PAGE,NO,DC-C module landing page,MIXED,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,line 1,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1420,C,paragraph,P1420,,Chapter Lead,"What must exist, who checks it, where it is retained and what its absence reopens",MIGRATE_TO_DIGITAL_MODULE,NO_OR_SUMMARY_ONLY,DC-C,MIXED,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,line 11,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1421,C,paragraph,P1421,,First Paragraph,"A project is not controlled merely because its files exist. A defensible record must connect each consequential decision to the object reviewed, the person or authority competent to accept it, the version that was acted upon and the evidence retained afterwards. This appendix converts the book’s gate architecture into a milestone inventory and then separates that scientific record from the official closeout dossier required for bachelor’s and master’s routes at the Bucharest University of Economic Studies (ASE).",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-C,MIXED,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,line 13,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1422,C,paragraph,P1422,,Body Text,"Three record systems must remain distinct. The scientific project record supports reasoning, execution and claims. The administrative dossier supports eligibility, transmission and registration. The release record supports publication, deposit or examination delivery. A receipt in one system cannot repair a missing record in another: a successful upload does not validate a claim, an excellent analysis does not replace a required declaration and a public repository is not an appropriate store for identity documents, signatures or payment evidence.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-C,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_C_MILESTONE_EVIDENCE_AND_DOSSIER.md,line 15,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
