gate_id,gate,criterion_no,criterion,passing_evidence,repair_or_return,source_anchor,source_status
G2,Evidence Gate,5,Source fitness and independence appraised,"Appraisal records method, context, status, conflicts, licence and role in the claim.","Downgrade, corroborate or replace the source.","Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
G2,Evidence Gate,6,Alternatives and contradictions represented,"Synthesis memo includes baselines, dissent and residual uncertainty.",Search specifically for competing explanations.,"Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
G2,Evidence Gate,7,Candidate gap bounded by the corpus,"Corpus Statement separates support, uncertainty and prohibited inference.",Repair the search or retain candidate-gap wording.,"Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
G2,Evidence Gate,8,Formal protocol governed where relevant,"Review type, protocol, reporting plan and amendments are approved and dated.","Pause screening, document the amendment or obtain methodological approval.","Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
G3,Design Gate,1,Alignment and route,"Question, route, drivers and evidence obligation are explicit.",Return to the Problem or Evidence Gate.,"Table 4.3. Chapter 4, Sections 4.1–4.8",Extracted from authoritative master v3.9.0.
G3,Design Gate,2,Alternatives and rationale,"Credible options, criteria, accepted losses and triggers are recorded.","Simplify, compare again or suspend the choice.","Table 4.3. Chapter 4, Sections 4.1–4.8",Extracted from authoritative master v3.9.0.
G3,Design Gate,3,Artefact or protocol specificity,"Views, units, constructs, procedures and boundaries are executable.",Repair the architecture or methodology.,"Table 4.3. Chapter 4, Sections 4.1–4.8",Extracted from authoritative master v3.9.0.
G3,Design Gate,4,Authority and access,"Participants, data, systems, corpus and deployment have named permission routes.","Await, obtain or remove the unauthorised activity.","Table 4.3. Chapter 4, Sections 4.1–4.8",Extracted from authoritative master v3.9.0.
G3,Design Gate,5,Evaluation and amendment,"Baseline, evidence, adequacy rule, uncertainty, failure type and amendment process are fixed.",Redesign the early test or evaluation contract.,"Table 4.3. Chapter 4, Sections 4.1–4.8",Extracted from authoritative master v3.9.0.
G3,Design Gate,6,"Ethics, data, security and licence","Known exposures have an owner, route, mitigation and stop condition.","Reduce exposure, seek authority or stop.","Table 4.3. Chapter 4, Sections 4.1–4.8",Extracted from authoritative master v3.9.0.
G3,Design Gate,7,Control and ownership,"Milestones, provenance, fallbacks and oral ownership are feasible.",Reduce scope and resubmit the protocol.,"Table 4.3. Chapter 4, Sections 4.1–4.8",Extracted from authoritative master v3.9.0.
G4,Execution Gate,1,Authority and boundary,Each unit cites the current approved decision or protocol and states non-goals and a stop condition,"Repair the brief, reduce scope, await authority or return to the Design Gate","Table 5.3. Chapter 5, Sections 5.1–5.8",Extracted from authoritative master v3.9.0.
G4,Execution Gate,2,Starting state and provenance,"Inputs, environment, permissions, versions, manual actions and external components are identifiable","Reconstruct or repeat in a clean state, resolve provenance or quarantine the unit","Table 5.3. Chapter 5, Sections 5.1–5.8",Extracted from authoritative master v3.9.0.
G4,Execution Gate,3,Primary artefact and failure history,"The complete diff, run, export, field record, evidence item or decision batch and failed candidates are inspectable","Review the primary artefact, restore failure records, repair, reject or repeat","Table 5.3. Chapter 5, Sections 5.1–5.8",Extracted from authoritative master v3.9.0.
G4,Execution Gate,4,Checks and independent basis,Acceptance-derived checks cover important success and failure paths without relying solely on the producing model or assumption,"Add a specification, fixture, known case, audit sample or credible second path","Table 5.3. Chapter 5, Sections 5.1–5.8",Extracted from authoritative master v3.9.0.
G4,Execution Gate,5,"Security, privacy, licences and external effects","Secrets, participant or case rights, confidential material, dependencies, licences and consequential actions are controlled","Contain, revoke, repair, obtain external authority, replace the component or stop","Table 5.3. Chapter 5, Sections 5.1–5.8",Extracted from authoritative master v3.9.0.
G4,Execution Gate,6,Disposition and residual uncertainty,"Each candidate has a recorded decision, owner, conditions, affected objects and reopening trigger",Complete the disposition record or return the unit for repair,"Table 5.3. Chapter 5, Sections 5.1–5.8",Extracted from authoritative master v3.9.0.
G4,Execution Gate,7,"Ownership, recovery and next gate","The student can explain, recreate, contain and hand over the unit and can state what Chapter 6 must still test","Admit, admit with conditions, repeat, return to an earlier gate or quarantine and stop","Table 5.3. Chapter 5, Sections 5.1–5.8",Extracted from authoritative master v3.9.0.
G5,Claim Gate,1,Claim and boundary,"Wording identifies object or population, property, comparison, context, assumptions and excluded scope","Narrow, condition, suspend or withdraw the claim","Table 6.3. Chapter 6, Sections 6.1–6.8",Extracted from authoritative master v3.9.0.
G5,Claim Gate,2,Route and comparison,The approved route and credible reference support the intended inference without hindsight selection,Repair evaluation or return to Design Gate,"Table 6.3. Chapter 6, Sections 6.1–6.8",Extracted from authoritative master v3.9.0.
G5,Claim Gate,3,Evidence and counter-evidence,"The complete evidence body includes relevant observations, negative cases, failures and preserved alternatives","Report descriptively, collect justified evidence or return to Execution Gate","Table 6.3. Chapter 6, Sections 6.1–6.8",Extracted from authoritative master v3.9.0.
G5,Claim Gate,4,Uncertainty and practical meaning,"Variation, interval, credibility, model dependence or contextual boundary is visible and linked to the decision","Mark null-compatible or inconclusive, narrow practical meaning or stop","Table 6.3. Chapter 6, Sections 6.1–6.8",Extracted from authoritative master v3.9.0.
G5,Claim Gate,5,"Robustness, reproducibility and transfer","Justified variations, reconstruction or audit and transfer conditions support the wording","Stress-test, reproduce, record instability or restrict transfer","Table 6.3. Chapter 6, Sections 6.1–6.8",Extracted from authoritative master v3.9.0.
G5,Claim Gate,6,"Integrity, AI and ownership","Leakage, multiplicity, provenance, ethics, privacy, security and material AI assistance are controlled and the student can explain the result","Resolve blocker, repair understanding or suspend the claim","Table 6.3. Chapter 6, Sections 6.1–6.8",Extracted from authoritative master v3.9.0.
G5,Claim Gate,7,Final status,Every consequential verb is supported by the complete record,"Support within boundary, support with conditions, descriptive only, negative, null-compatible, inconclusive, invalid, suspended or return to an earlier gate","Table 6.3. Chapter 6, Sections 6.1–6.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,1,Identity and scope,"Title, question, objectives, bounded answer and contribution name the same project",Return to Claim or Problem Gate and narrow the promise,"Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,2,Section architecture,"Every major section has one necessary function, authorising evidence and a valid hand-off","Merge, move or delete chronology-led and duplicate material","Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,3,Knowledge position,Verified sources establish the precise unresolved tension and project position,Rebuild from CORPUS and remove catalogues or technology-only gaps,"Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,4,Method and traceability,"Planned, executed and amended method are visible and their claim consequences are stated",Repair method–execution traceability or reopen Design and Execution records,"Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,5,Results and visuals,"Evidence follows questions and exposes conditions, uncertainty, negative evidence and provenance",Separate observation from interpretation and redesign evidential objects,"Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,6,"Discussion, limitations and conclusion","The question is answered, alternatives are considered, limitations change wording and conclusion adds nothing stronger",Rebuild from Claim Gate and delete new or restored claims,"Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,7,"Sources, AI and ownership","Citations sit beside supported propositions, consequential AI edits are verified and the student can explain the prose","Open originals, correct source scope and return unowned prose to diagnosis","Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G6,Argument Gate,8,Final status,One reconstructible answer survives from title to conclusion,"Proceed, proceed with named repairs, return to an earlier gate or suspend the claim","Table 7.3. Chapter 7, Sections 7.1–7.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,1,Argument invariant,"Question, route, evidence, limitation and contribution remain accepted.",Return changed meaning to the earliest authorising gate.,"Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,2,Headline and terminology,"Compressed layers, certainty, units and terms describe one study.",Repair the first layer that strengthened or changed the study.,"Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,3,"Source, rights and attribution","Identity, version, claim fit, reuse and permission are correct.",Correct locally or suspend unsupported or unauthorised material.,"Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,4,Evidential apparatus,"Objects and fields expose accurate, accessible and bounded evidence.","Redesign, relink or remove, then regenerate and inspect.","Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,5,Similarity and ownership,"Dependence is transparent, evasion absent and AI edits explainable.","Repair attribution, reuse or TRACE; retain institutional judgement for Chapter 9.","Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,6,Package and accessibility,"The DOCX has no unintended review artefacts, hidden data or blockers.","Inspect on a copy, remove intentionally, restore and rerun checks.","Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,7,Proof and navigation,"All stories are current, fonts verified and every page inspected.","Repair the DOCX, update all stories and issue a new proof.","Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G7,Editorial Gate,8,Version lineage,"One DOCX, checksum and render record govern all derivatives.","Reject competing derivatives, freeze a new version and regenerate records.","Table 8.3. Chapter 8, Sections 8.1–8.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,1,Current authority,"Regulation, programme instruction, forms, dates and examination conditions are current or explicitly pending.",Conflict or unresolved required item: repair authority map and withhold final freeze.,"Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,2,One-record identity,"DOCX, official artefacts, examination copy, slides and answers preserve scientific-content identity.","Different question, corpus, release, result or conclusion: return to the earliest responsible gate.","Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,3,Similarity and declarations,"Review is contextual, retained and consistent with accurate originality and IAG declarations.","Gaming, hidden material assistance or inaccurate mandatory disclosure: repair and withhold submission.","Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,4,"Access, rights and safety","Personal data are segregated and access, privacy, security and licensing conditions are lawful.","Protected, secret or unauthorised material is exposed: quarantine, remediate and withhold release or demonstration.","Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,5,Demonstration and recovery,"Route-appropriate primary, secondary and fallback paths use the declared release and safe data.","Unsafe, unrecoverable or inconsistent path: rebuild runbook and repeat failure rehearsal.","Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,6,Presentation and accessibility,"The claim-led deck preserves method status, units, uncertainty and boundary within the confirmed time and room conditions.","Stronger claim, inaccessible object or failed room test: rebuild and rehearse the compressed narrative.","Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,7,Oral ownership,"The student answers directly, retrieves evidence, states limits, corrects errors and handles unknowns without hidden assistance.","Script dependence, invented evidence or inability to explain the principal claim: repair knowledge gap and repeat mock defence.","Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
G8,Defence Readiness Gate,8,Independent test and final decision,"A second authorised person navigates the package, opens backups and completes route-specific and failure tests without authorial repair.",Any blocking defect remains: retest after repair; do not freeze or submit.,"Table 9.3. Chapter 9, Sections 9.1–9.8",Extracted from authoritative master v3.9.0.
