record_id,filename,origin,phase14a_issue,phase14b_resolution,header_changed,field_count,counterpart,semantic_status
FULL-ACCESSIBILITY_RENDER_AUDIT_FULL,ACCESSIBILITY_RENDER_AUDIT_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-APPRAISAL_RECORD_FULL,APPRAISAL_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-ARGUMENT_SPINE_MAP_FULL,ARGUMENT_SPINE_MAP_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-AUTHORITATIVE_FILE_VERSION_RECORD_FULL,AUTHORITATIVE_FILE_VERSION_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-AUTHORITY_MATRIX_FULL,AUTHORITY_MATRIX_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,11,,PASS — released and semantically validated
FULL-AUTHOR_IDENTITY_HEADLINE_RECORD_FULL,AUTHOR_IDENTITY_HEADLINE_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,13,,PASS — released and semantically validated
FULL-CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL,CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-CLAIM_EVIDENCE_MAP_FULL,CLAIM_EVIDENCE_MAP_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,CLAIM_EVIDENCE_MAP_MIN.csv,PASS — released and semantically validated
FULL-CORE_SOURCE_NOTE_FULL,CORE_SOURCE_NOTE_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-CORPUS_LEDGER_FULL,CORPUS_LEDGER_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,16,CORPUS_LEDGER_MIN.csv,PASS — released and semantically validated
FULL-CURRENT_SESSION_AUTHORITY_RECORD_FULL,CURRENT_SESSION_AUTHORITY_RECORD_FULL.csv,Phase 14A-added template,Template used generic catalogue wording and generic workbook field descriptions.,"Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,,PASS — released and semantically validated
FULL-DECIDE_RECORD_FULL,DECIDE_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,DECIDE_RECORD_MIN.csv,PASS — released and semantically validated
FULL-DEFENCE_QUESTION_MATRIX_FULL,DEFENCE_QUESTION_MATRIX_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,13,DEFENCE_QUESTION_MATRIX_MIN.csv,PASS — released and semantically validated
FULL-DEFENCE_READINESS_RECORD_FULL,DEFENCE_READINESS_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,13,,PASS — released and semantically validated
FULL-DEMONSTRATION_RUNBOOK_FULL,DEMONSTRATION_RUNBOOK_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,15,DEMONSTRATION_RUNBOOK_MIN.csv,PASS — released and semantically validated
FULL-EARLY_TEST_RECORD_FULL,EARLY_TEST_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-EDITORIAL_REVISION_MAP_FULL,EDITORIAL_REVISION_MAP_FULL.csv,Phase 14A-added template,Template used generic catalogue wording and generic workbook field descriptions.,"Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,13,,PASS — released and semantically validated
FULL-EVALUATION_DESIGN_RECORD_FULL,EVALUATION_DESIGN_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL,EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,,PASS — released and semantically validated
FULL-EXECUTION_PROVENANCE_RECORD_FULL,EXECUTION_PROVENANCE_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,16,,PASS — released and semantically validated
FULL-FEASIBILITY_SPRINT_RECORD_FULL,FEASIBILITY_SPRINT_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,FEASIBILITY_SPRINT_RECORD_MIN.csv,PASS — released and semantically validated
FULL-GATE_RECORD_FULL,GATE_RECORD_FULL.csv,Phase 14A-added template,Template used generic catalogue wording and generic workbook field descriptions.,"Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,15,GATE_RECORD_MIN.csv,PASS — released and semantically validated
FULL-MILESTONE_EVIDENCE_REGISTER_FULL,MILESTONE_EVIDENCE_REGISTER_FULL.csv,Phase 14A-added template,Template used generic catalogue wording and generic workbook field descriptions.,"Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,13,,PASS — released and semantically validated
FULL-MOCK_DEFENCE_AND_RECOVERY_RECORD_FULL,MOCK_DEFENCE_AND_RECOVERY_RECORD_FULL.csv,Phase 14A-added template,Template used generic catalogue wording and generic workbook field descriptions.,"Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,13,,PASS — released and semantically validated
FULL-PACKAGE_CONSISTENCY_RECORD_FULL,PACKAGE_CONSISTENCY_RECORD_FULL.csv,Phase 14A-added template,Template used generic catalogue wording and generic workbook field descriptions.,"Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,,PASS — released and semantically validated
FULL-PRESENTATION_SPINE_RECORD_FULL,PRESENTATION_SPINE_RECORD_FULL.csv,Phase 14A-added template,Template used generic catalogue wording and generic workbook field descriptions.,"Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-PROJECT_START_PACK_FULL,PROJECT_START_PACK_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,16,PROJECT_START_PACK_MIN.csv,PASS — released and semantically validated
FULL-RISK_ASSUMPTION_REGISTER_FULL,RISK_ASSUMPTION_REGISTER_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-ROUTE_SELECTOR_FULL,ROUTE_SELECTOR_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,ROUTE_SELECTOR_MIN.csv,PASS — released and semantically validated
FULL-SCOPE_CANVAS_FULL,SCOPE_CANVAS_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,SCOPE_CANVAS_MIN.csv,PASS — released and semantically validated
FULL-SEARCH_STRATEGY_RECORD_FULL,SEARCH_STRATEGY_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-SECTION_CONTRACT_REGISTER_FULL,SECTION_CONTRACT_REGISTER_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-SIMILARITY_AI_AUTHORSHIP_RECORD_FULL,SIMILARITY_AI_AUTHORSHIP_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL,SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,13,,PASS — released and semantically validated
FULL-SUBMISSION_PACKAGE_MANIFEST_FULL,SUBMISSION_PACKAGE_MANIFEST_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-SYNTHESIS_MEMO_FULL,SYNTHESIS_MEMO_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-TRACE_RECORD_FULL,TRACE_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,17,TRACE_RECORD_MIN.csv,PASS — released and semantically validated
FULL-UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL,UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
FULL-VERSION_MANIFEST_RECORD_FULL,VERSION_MANIFEST_RECORD_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,14,VERSION_MANIFEST_RECORD_MIN.csv,PASS — released and semantically validated
FULL-WORK_UNIT_BRIEF_FULL,WORK_UNIT_BRIEF_FULL.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,,PASS — released and semantically validated
