record_id,level,filename,template_path,field_order,field_name,field_label,semantic_definition,entry_rule,requiredness,controlled_vocabulary,controlled_values,sensitivity,validation_rule,book_anchor
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,9,claim_or_decision_use,Claim or decision use,Exact bounded claim or claim-related role represented by claim or decision use.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty when required; internally consistent with linked records,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,10,version,version,Explicit version identifier for the record or object. Do not rely on file modification time.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,explicit version or dated revision; no ambiguous labels such as final-final,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,11,notes,notes,Record notes in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,optional; do not use for unstructured personal or confidential payloads,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty when required; internally consistent with linked records,"3.3 Keep records, publications, studies and evidence distinct"
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,1,decision_id,Decision id,Stable identifier for one consequential decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty stable identifier; unique within the project namespace,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,2,decision,decision,Explicit disposition selected from the record’s controlled outcomes and justified by named evidence.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,3,credible_alternatives,Credible alternatives,Record credible alternatives in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,4,criteria,criteria,Record criteria in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,5,evidence_and_authority,Evidence and authority,"Named, retrievable evidence relevant to evidence and authority; use a safe locator rather than confidential payload.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,6,assumptions_and_risks,Assumptions and risks,"Material constraint, uncertainty or boundary associated with assumptions and risks.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,7,conditional_commitment,Conditional commitment,Record conditional commitment in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,8,early_test,Early test,Record early test in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,9,reopening_trigger,Reopening trigger,Observable condition that invalidates or narrows the current commitment and reopens a named gate.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,10,reviewer,reviewer,Named person or competent role that inspected the current version.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,11,date,date,"ISO 8601 date on which the action, observation or disposition occurred.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",ISO 8601 date (YYYY-MM-DD),4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,12,status,status,Current lifecycle or decision status. Use the controlled vocabulary declared for the record.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,lifecycle_status,draft; candidate; reviewed; accepted locally; superseded; withdrawn,"controlled project metadata; no credentials, direct identifiers or confidential payloads",use one exact value from controlled vocabulary: lifecycle_status,4.3 Use DECIDE to turn evidence into a conditional commitment
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,1,question_family,Question family,Exact question represented by question family.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,2,hostile_question,Hostile question,"Realistic adversarial question that tests evidence, reasoning, uncertainty, authority or ownership.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,3,direct_answer,Direct answer,Concise answer that addresses the question before explanation and does not exceed the accepted claim.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,4,evidence_anchor,Evidence anchor,"Named, retrievable evidence relevant to evidence anchor; use a safe locator rather than confidential payload.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,5,inferential_link,Inferential link,Record inferential link in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,6,limitation,limitation,"Condition that materially restricts interpretation, transfer or use of the finding.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,7,what_does_not_follow,What does not follow,Record what does not follow in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,8,follow_up,Follow up,Record follow up in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,may reference restricted administrative objects; store only safe identifiers and segregated locators,non-empty when required; internally consistent with linked records,"9.6 Answer from evidence, boundary and consequence"
MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,9,rehearsal_status,Rehearsal status,"State of independent rehearsal and unresolved defect, not a prediction of examination outcome.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,lifecycle_status,draft; candidate; reviewed; accepted locally; superseded; withdrawn,may reference restricted administrative objects; store only safe identifiers and segregated locators,use one exact value from controlled vocabulary: lifecycle_status,"9.6 Answer from evidence, boundary and consequence"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,1,step,step,Record step in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,2,purpose,purpose,Record purpose in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,3,route,route,One of the eight locked inquiry routes or an explicitly justified hybrid component.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,route,build-and-evaluate; algorithmic or simulation study; predictive or machine-learning study; quantitative empirical study; qualitative inquiry; case study; formal evidence synthesis; hybrid route,"record versions and evidence locators, not secrets, personal data or proprietary payloads",use one exact value from controlled vocabulary: route,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,4,release_or_state,Release or state,Record release or state in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,5,action,action,"Specific, owned and testable action for action.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,6,expected_evidence,Expected evidence,Evidence object that should be produced if the step behaves as designed.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,7,failure_case,Failure case,Known or rehearsed condition in which the primary path fails or the claim boundary is tested.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,8,fallback,fallback,Safe secondary path using the same accepted release and scientific claim boundary.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,9,reset_or_stop_rule,Reset or stop rule,"Condition for safe reset, containment or termination of the demonstration or work unit.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,10,time_boundary,Time boundary,"Material constraint, uncertainty or boundary associated with time boundary.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"record versions and evidence locators, not secrets, personal data or proprietary payloads",non-empty when required; internally consistent with linked records,"9.4 Demonstrate an evidence path, not a product tour"
MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,11,status,status,Current lifecycle or decision status. Use the controlled vocabulary declared for the record.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,lifecycle_status,draft; candidate; reviewed; accepted locally; superseded; withdrawn,"record versions and evidence locators, not secrets, personal data or proprietary payloads",use one exact value from controlled vocabulary: lifecycle_status,"9.4 Demonstrate an evidence path, not a product tour"
