level,filename,record_title,stage,gate,mode,purpose,use_rule,completion_test,controlled_values
full,ROUTE_SELECTOR_FULL.csv,Route Selector - Full,Orient,Project Start Pack,form,Select a dominant route through evidence obligations rather than topic vocabulary.,Complete only when the current decision requires this record.,"The route, unit, comparison, evidence body, uncertainty and forbidden inference are mutually compatible.",Routes: build-and-evaluate; algorithmic or simulation study; predictive or machine-learning study; quantitative empirical study; qualitative inquiry; case study; formal evidence synthesis; hybrid route
full,PROJECT_START_PACK_FULL.csv,Project Start Pack - Full,Orient,Project Start Pack,form,"Establish the product, route, access, authority, workspace and first controlled deliverable.",Complete only when the current decision requires this record.,"A reviewer can identify the project, inspect access and risk, then authorise one bounded next action.",
full,SCOPE_CANVAS_FULL.csv,SCOPE Canvas - Full,Choose,Problem Gate,form,"Externalise scope, evidence, boundaries and uncertainty before commitment.",Complete only when the current decision requires this record.,"The question, route, evidence, contribution and reopening triggers form a coherent contract.",
full,FEASIBILITY_SPRINT_RECORD_FULL.csv,Feasibility Sprint Record - Full,Choose,Problem Gate,form,"Test a costly uncertainty through a bounded, safe and evidential action.",Complete only when the current decision requires this record.,"The sprint produces retained evidence and a defensible continue, narrow, pivot or stop decision.",
full,SEARCH_STRATEGY_RECORD_FULL.csv,Search Strategy Record - Full,Search,Evidence Gate,ledger,"Make discovery routes, dates, strings and limits inspectable.",Add one row per inspectable object. Preserve stable identifiers and versions.,A third party can reconstruct the search sufficiently to understand the corpus boundary.,
full,CORPUS_LEDGER_FULL.csv,CORPUS Ledger - Full,Search,Evidence Gate,ledger,Resolve each candidate object from discovery record to claim-linked use.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Every load-bearing object has a verified identity, appraisal, access status and study-level mapping where relevant.",
full,CORE_SOURCE_NOTE_FULL.csv,Core Source Note - Full,Search,Evidence Gate,form,Record what a load-bearing source actually supports and where its scope ends.,Complete only when the current decision requires this record.,The source cannot be cited for a broader claim than the note permits.,
full,APPRAISAL_RECORD_FULL.csv,Appraisal Record - Full,Search,Evidence Gate,ledger,"Separate relevance, authority, methodological quality and fitness for a particular claim.",Add one row per inspectable object. Preserve stable identifiers and versions.,Appraisal judgements are explicit and do not collapse prestige into fitness.,
full,SYNTHESIS_MEMO_FULL.csv,Synthesis Memo - Full,Search,Evidence Gate,form,"Convert source notes into a bounded pattern, contradiction or uncertainty.",Complete only when the current decision requires this record.,"The memo states the evidence base, synthesis logic, counter-evidence and consequence for the project.",
full,DECIDE_RECORD_FULL.csv,DECIDE Record - Full,Plan,Design Gate,form,Record a consequential decision as a conditional commitment.,Complete only when the current decision requires this record.,"Alternatives, evidence, authority, adverse consequences, early test and reopening trigger are explicit.",
full,AUTHORITY_MATRIX_FULL.csv,Authority Matrix - Full,Plan,Design Gate,ledger,"Separate advice, academic approval, ethics, data ownership, security and licence authority.",Add one row per inspectable object. Preserve stable identifiers and versions.,No approval is used as a substitute for a different authority route.,
full,RISK_ASSUMPTION_REGISTER_FULL.csv,Risk and Assumption Register - Full,Plan,Design Gate,ledger,"Make consequential assumptions, risks, mitigations and reopening triggers inspectable.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Every high-impact item has an owner, test or mitigation and a decision consequence.",
full,EARLY_TEST_RECORD_FULL.csv,Early Test Record - Full,Plan,Design Gate,form,Test one consequential design commitment before full execution.,Complete only when the current decision requires this record.,"The test result can confirm conditionally, repair, invalidate or await authority.",
full,WORK_UNIT_BRIEF_FULL.csv,Work-Unit Brief - Full,Execute,Execution Gate,form,Bound one authorised unit of execution and its admission criteria.,Complete only when the current decision requires this record.,"The unit has a known starting state, expected evidence, failure rule and disposition path.",
full,EXECUTION_PROVENANCE_RECORD_FULL.csv,"Execution, Context and Provenance Record - Full",Execute,Execution Gate,ledger,Preserve lineage from starting state to candidate and accepted work.,Add one row per inspectable object. Preserve stable identifiers and versions.,"A reviewer can reconstruct versions, environment, manual interventions, failures and disposition.",
full,CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL.csv,Candidate Artefact and Inspection Record - Full,Execute,Execution Gate,form,Inspect the primary artefact rather than a summary or dashboard.,Complete only when the current decision requires this record.,"The object is identified, inspected against declared criteria and given an explicit disposition.",
full,EVALUATION_DESIGN_RECORD_FULL.csv,Evaluation Design Record - Full,Evaluate,Claim Gate,form,Design evaluation backwards from the minimum meaningful claim.,Complete only when the current decision requires this record.,"The comparison, evidence body, uncertainty, counter-evidence and forbidden inference are declared before interpretation.",
full,CLAIM_EVIDENCE_MAP_FULL.csv,Claim-Evidence Map - Full,Evaluate and write,Claim / Argument Gate,ledger,"Map each exact claim to evidence, reasoning, uncertainty, boundary and rejected stronger wording.",Add one row per inspectable object. Preserve stable identifiers and versions.,Every substantive claim has a reconstructible evidence path and a status.,
full,UNCERTAINTY_COUNTER_EVIDENCE_RECORD_FULL.csv,Uncertainty and Counter-Evidence Record - Full,Evaluate,Claim Gate,ledger,Preserve uncertainty and evidence that resists the preferred interpretation.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Negative, null-compatible, inconclusive and invalid results are distinguished and have a disposition.",
full,ARGUMENT_SPINE_MAP_FULL.csv,Argument Spine Map - Full,Write,Argument Gate,form,Transform gate records into one bounded answer rather than a chronology.,Complete only when the current decision requires this record.,"The problem, position, method, evidence, claim, limitation and contribution form one reconstructible chain.",
full,SECTION_CONTRACT_REGISTER_FULL.csv,Section Contract Register - Full,Write,Argument Gate,ledger,"Assign each manuscript section an intellectual function, evidence set and boundary.",Add one row per inspectable object. Preserve stable identifiers and versions.,No section exists only because a conventional heading was expected.,
full,SOURCE_RIGHTS_ATTRIBUTION_RECORD_FULL.csv,"Source, Rights and Attribution Record - Full",Close,Editorial Gate,ledger,"Verify source identity, claim fitness, attribution and rights bidirectionally.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Every load-bearing source and reused object has a defensible identity, use and rights status.",
full,EVIDENTIAL_OBJECT_NAVIGATION_AUDIT_FULL.csv,Evidential Object and Navigation Audit - Full,Close,Editorial Gate,ledger,"Audit the semantic and technical integrity of figures, tables, equations, listings and cross-references.",Add one row per inspectable object. Preserve stable identifiers and versions.,Every object represents the accepted study and every destination works.,
full,AUTHOR_IDENTITY_HEADLINE_RECORD_FULL.csv,Author Identity and Headline Consistency Record - Full,Close,Editorial Gate,form,Lock author order and headline layers to one study identity.,Complete only when the current decision requires this record.,"Title, abstract, keywords, contribution, conclusion and metadata describe the same bounded study.",
full,SIMILARITY_AI_AUTHORSHIP_RECORD_FULL.csv,"Similarity, AI and Authorship Record - Full",Close,Editorial Gate,form,"Separate similarity, attribution, text recycling, AI disclosure and oral ownership.",Complete only when the current decision requires this record.,No detector or score is used as a substitute for source verification or authorship responsibility.,
full,AUTHORITATIVE_FILE_VERSION_RECORD_FULL.csv,Authoritative File and Version Record - Full,Close,Editorial Gate,form,Designate one source of truth and preserve derivative identity.,Complete only when the current decision requires this record.,"The authoritative DOCX and every derivative have versions, hashes, rights and proof state.",
full,ACCESSIBILITY_RENDER_AUDIT_FULL.csv,Accessibility and Render Audit - Full,Close,Editorial Gate,ledger,Preserve structural accessibility and inspect the rendered object page by page.,Add one row per inspectable object. Preserve stable identifiers and versions.,"High-impact defects are absent, findings are classified and the proof is tied to the authoritative source.",
full,SUBMISSION_PACKAGE_MANIFEST_FULL.csv,Submission Package Manifest - Full,Submit and defend,Defence Readiness Gate,ledger,"Separate institutional submission objects, private evidence and unpublished release candidates.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Every file has a role, version, hash, rights status and destination; no private object is published accidentally.",
full,DEMONSTRATION_RUNBOOK_FULL.csv,Demonstration Runbook - Full,Submit and defend,Defence Readiness Gate,ledger,"Prepare a route-specific evidential demonstration, failure case and fallback.",Add one row per inspectable object. Preserve stable identifiers and versions.,The demonstration is tied to the accepted evidence and cannot imply a stronger claim.,
full,DEFENCE_QUESTION_MATRIX_FULL.csv,Defence Question Matrix - Full,Submit and defend,Defence Readiness Gate,ledger,Prepare evidence-return answers to realistic hostile questions.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Each answer identifies the claim, evidence, inferential link, uncertainty and boundary.",
full,DEFENCE_READINESS_RECORD_FULL.csv,Defence Readiness Record - Full,Submit and defend,Defence Readiness Gate,form,"Record whether the scientific record, submitted package, demonstration, slides and oral account preserve one contribution.",Complete only when the current decision requires this record.,"An independent reviewer can retrieve the evidence, challenge the claim and verify disclosures without version drift.",
full,TRACE_RECORD_FULL.csv,TRACE Record - Full,Cross-cutting,All gates,ledger,"Record consequential AI use from task to verification, disposition and disclosure.",Add one row per inspectable object. Preserve stable identifiers and versions.,No AI output is treated as evidence or authority and the student retains semantic responsibility.,
full,VERSION_MANIFEST_RECORD_FULL.csv,Version and Manifest Record - Full,Cross-cutting,All closure gates,form,"Preserve provenance, supersession and derivative identity for every controlled package.",Complete only when the current decision requires this record.,"A third party can identify the source of truth, its derivatives and the status of rights, privacy and proof.",
